so_band,res_num_per_chip,freq_hz,resonator_height_um,wiggles,sliders,slider_delta_um,resonator_impedance_ohms,coupling_capacitance_f,coupling_inductance_h,x_pos_mm,y_pos_mm
0.0,0.0,4019000000.0,2770.0,21.0,3.0,50.690775704486285,50.0,4.182296061704048e-15,0.0,-8.125,-0.2
0.0,1.0,4020870714.2857146,2671.0,21.0,3.0,50.07216070778618,50.0,4.182296061704048e-15,3.9812232300404215e-11,-7.125,-0.2
0.0,2.0,4022741428.5714283,2671.0,21.0,3.0,50.670379240601804,50.0,4.182296061704048e-15,3.9812232300404215e-11,-6.125,-0.2
0.0,3.0,4024612142.857143,2671.0,21.0,3.0,51.268041647303576,50.0,4.182296061704048e-15,3.9812232300404215e-11,-5.125,-0.2
0.0,4.0,4026482857.142857,2671.0,21.0,3.0,51.86514870302507,50.0,4.182296061704048e-15,3.9812232300404215e-11,-4.125,-0.2
0.0,5.0,4028353571.4285717,2671.0,21.0,3.0,52.461701181458366,50.0,4.182296061704048e-15,3.9812232300404215e-11,-3.125,-0.2
0.0,6.0,4030224285.7142854,2671.0,21.0,3.0,53.05769985486013,50.0,4.182296061704048e-15,3.9812232300404215e-11,-2.125,-0.2
0.0,7.0,4032095000.0,2671.0,21.0,3.0,53.65314549405467,50.0,4.182296061704048e-15,3.9812232300404215e-11,-1.125,-0.2
0.0,8.0,4033965714.2857146,2671.0,21.0,3.0,54.24803886843391,50.0,4.182296061704048e-15,3.9812232300404215e-11,-0.125,-0.2
0.0,9.0,4035836428.5714283,2671.0,21.0,3.0,54.84238074596654,50.0,4.182296061704048e-15,3.9812232300404215e-11,0.875,-0.2
0.0,10.0,4037707142.857143,2671.0,21.0,3.0,55.43617189319495,50.0,4.182296061704048e-15,3.9812232300404215e-11,1.875,-0.2
0.0,11.0,4039577857.142857,2671.0,21.0,3.0,56.02941307524135,50.0,4.182296061704048e-15,3.9812232300404215e-11,2.875,-0.2
0.0,12.0,4041448571.4285717,2671.0,21.0,3.0,56.622105055816846,50.0,4.182296061704048e-15,3.9812232300404215e-11,3.875,-0.2
0.0,13.0,4043319285.7142854,2671.0,21.0,3.0,57.21424859721235,50.0,4.182296061704048e-15,3.9812232300404215e-11,4.875,-0.2
0.0,14.0,4045190000.0,2671.0,21.0,3.0,57.805844460313764,50.0,4.182296061704048e-15,3.9812232300404215e-11,5.875,-0.2
0.0,15.0,4047060714.2857146,2671.0,21.0,3.0,58.39689340459593,50.0,4.182296061704048e-15,3.9812232300404215e-11,6.875,-0.2
0.0,16.0,4048931428.5714283,2671.0,21.0,3.0,58.98739618813171,50.0,4.182296061704048e-15,3.9812232300404215e-11,7.875,-0.2
0.0,17.0,4052653571.428571,2671.0,21.0,3.0,60.160692654329026,50.0,4.182296061704048e-15,3.9812232300404215e-11,-7.625,-0.2
