# Metadata:utc,2021-01-15 20:15:45.848519|path,D:\waferscreen\nist\10\2021-01-15\scan\raw\scan4.100GHz-6.200GHz_2021-01-15 20-15-45.848519.txt|end_time,1610741745|export_type,scan|fcenter_ghz,5|flux_current_ua,0|flux_supply_v,0|fmax_ghz,6|fmin_ghz,4|fspan_ghz,1|if_bw_hz,100|num_freq_points,3202|port_power_dbm,-20|ramp_series_resistance_ohms,10000|start_time,1610741705|sweeptype,lin|vna_address,GPIB1::19::INSTR
# Header:freq_ghz,real,imag
4.1,0.3010254,0.6831055
4.100656044985942,0.3847656,0.6368408
4.101312089971883,0.4606323,0.5818481
4.101968134957826,0.5293579,0.5150146
4.102624179943767,0.5887451,0.4441528
4.103280224929709,0.6392212,0.3642578
4.103936269915651,0.6793213,0.27948
4.104592314901593,0.7080078,0.1901245
4.1052483598875344,0.7247925,0.0980835
4.105904404873477,0.7297363,0.0044556
4.106560449859418,0.723938,-0.08630371
4.10721649484536,0.7061768,-0.1766968
4.107872539831303,0.6776733,-0.2659302
4.108528584817244,0.637085,-0.3480225
4.109184629803186,0.5869141,-0.4246826
4.109840674789128,0.5290527,-0.4951782
4.11049671977507,0.4611206,-0.5571289
4.1111527647610115,0.3865967,-0.6110229
4.111808809746954,0.3048096,-0.6554565
4.112464854732895,0.2213745,-0.6868896
4.1131208997188375,0.1317749,-0.7102661
4.11377694470478,0.0404663,-0.7205811
4.114432989690721,-0.050354,-0.7211304
4.1150890346766635,-0.1419067,-0.7080078
4.115745079662605,-0.2301636,-0.6848755
4.116401124648547,-0.315918,-0.6515503
4.117057169634489,-0.3950806,-0.6063843
4.117713214620431,-0.4684448,-0.5523682
4.118369259606372,-0.5365601,-0.4890137
4.119025304592315,-0.5950928,-0.4171143
4.119681349578256,-0.6428833,-0.3380127
4.120337394564198,-0.6817017,-0.2548218
4.120993439550141,-0.7097778,-0.1678467
4.121649484536082,-0.7277832,-0.07330322
4.122305529522024,-0.7318115,0.0185547
4.122961574507966,-0.7246094,0.1109619
4.123617619493908,-0.7062988,0.2037354
4.124273664479849,-0.6761475,0.2915039
4.124929709465792,-0.635376,0.3773193
4.125585754451733,-0.5840454,0.4559937
4.126241799437675,-0.5217285,0.5275269
4.126897844423617,-0.4508667,0.5918579
4.127553889409559,-0.3726807,0.6463623
4.128209934395501,-0.2879028,0.690979
4.128865979381443,-0.1970825,0.723877
4.129522024367385,-0.1033325,0.7471313
4.1301780693533265,-0.006286621,0.755249
4.130834114339269,0.0928345,0.7526855
4.13149015932521,0.1895142,0.7360229
4.1321462043111525,0.2839355,0.7090454
4.132802249297094,0.3746948,0.6687012
4.133458294283036,0.4580078,0.6168213
4.1341143392689785,0.536499,0.5548096
4.13477038425492,0.605835,0.4810181
4.135426429240862,0.664856,0.3991089
4.136082474226804,0.7143555,0.3114014
4.136738519212746,0.7509766,0.2148438
4.137394564198687,0.7747192,0.1150513
4.13805060918463,0.7879639,0.0152588
4.138706654170571,0.7844238,-0.08898926
4.139362699156513,0.7682495,-0.1916504
4.140018744142455,0.739624,-0.2915649
4.140674789128397,0.6968384,-0.3882446
4.141330834114339,0.6417236,-0.4779663
4.141986879100281,0.574646,-0.5595093
4.142642924086223,0.4987183,-0.6326294
4.143298969072164,0.4101563,-0.6955566
4.143955014058107,0.3156738,-0.7451172
4.144611059044048,0.2150269,-0.7838135
4.14526710402999,0.1105957,-0.8062744
4.145923149015932,0.0028687,-0.8173218
4.146579194001874,-0.1060791,-0.810791
4.147235238987816,-0.2131348,-0.7908325
4.147891283973758,-0.3167114,-0.7590332
4.1485473289597,-0.4169312,-0.7096558
4.1492033739456415,-0.5084229,-0.6505127
4.149859418931584,-0.5923462,-0.5773315
4.150515463917525,-0.6644287,-0.4927368
4.1511715089034675,-0.7250977,-0.4024048
4.151827553889409,-0.7739868,-0.3016968
4.152483598875351,-0.8075562,-0.1960449
4.153139643861293,-0.8268433,-0.0859375
4.153795688847235,-0.8320313,0.0255127
4.154451733833177,-0.8214722,0.1356812
4.155107778819119,-0.7959595,0.2462769
4.155763823805061,-0.7562866,0.3503418
4.156419868791002,-0.7020874,0.4472656
4.157075913776945,-0.635437,0.5370483
4.157731958762886,-0.5560303,0.6182861
4.158388003748828,-0.4691772,0.6875
4.15904404873477,-0.3710938,0.7438965
4.159700093720712,-0.2672119,0.788147
4.160356138706653,-0.1588745,0.8145752
4.161012183692596,-0.04608154,0.8275146
4.161668228678538,0.0670166,0.8251953
4.162324273664479,0.1781616,0.807312
4.162980318650422,0.2874756,0.7727661
4.163636363636363,0.3928833,0.7232056
4.164292408622305,0.4919434,0.6549683
4.164948453608247,0.5848999,0.5575562
4.165604498594189,0.4788513,0.0585022
4.1662605435801305,0.6765747,0.4837646
4.166916588566073,0.7461548,0.3502808
4.167572633552014,0.7868042,0.2225342
4.1682286785379565,0.8008423,0.0759888
4.168884723523899,0.5974121,0.407959
4.16954076850984,0.8226318,-0.06347656
4.1701968134957825,0.7837524,-0.2207031
4.170852858481724,0.6392212,-0.4151611
4.171508903467666,0.6951294,-0.4199219
4.172164948453608,0.7302246,-0.380127
4.17282099343955,0.593811,-0.5717773
4.173477038425491,0.6364136,-0.4385376
4.174133083411434,0.4577637,-0.6831665
4.174789128397376,0.4539795,-0.3399658
4.175445173383317,0.2920532,-0.756958
4.17610121836926,0.0237427,-0.8253174
4.176757263355201,0.1152954,-0.7788086
4.177413308341143,-0.05303955,-0.8069458
4.178069353327085,0.0620728,-0.6448975
4.178725398313027,-0.2185669,-0.7557373
4.179381443298968,-0.3720093,-0.7109985
4.180037488284911,-0.3397217,-0.6723633
4.180693533270852,-0.4978638,-0.6026611
4.181349578256794,-0.6269531,-0.4765015
4.182005623242737,-0.6044312,-0.4744263
4.182661668228678,-0.6893311,-0.3592529
4.18331771321462,-0.7397461,-0.2088013
4.183973758200562,-0.7427979,-0.2141724
4.184629803186504,-0.7694092,-0.06427002
4.1852858481724455,-0.710022,0.1367188
4.185941893158388,-0.7755127,0.1011963
4.186597938144329,-0.7280273,0.244812
4.1872539831302715,-0.2729187,-0.06738281
4.187910028116214,-0.6795044,0.3981934
4.188566073102155,-0.5764771,0.5075684
4.1892221180880975,-0.7331543,0.3442383
4.189878163074039,-0.4870605,0.6305542
4.190534208059981,-0.3675537,0.692688
4.191190253045923,-0.2392578,0.7306519
4.191846298031865,-0.235611,0.1220551
4.192502343017806,-0.09765625,0.7891235
4.193158388003749,0.0787354,0.7628174
4.19381443298969,-0.06402588,0.8150024
4.194470477975632,0.2242432,0.7628174
4.195126522961575,-0.07336426,0.697937
4.195782567947516,0.3557739,0.7197876
4.196438612933458,0.4699707,0.6455078
4.1970946579194,0.5592041,0.5670166
4.197750702905342,0.6334839,0.4798584
4.198406747891283,0.6925659,0.3848267
4.199062792877226,0.7391968,0.2803955
4.199718837863167,0.7713013,0.1627197
4.200374882849109,0.7477417,-0.06518555
4.201030927835051,0.7863159,0.00354
4.201686972820993,0.7718506,-0.1286011
4.202343017806935,0.7341309,-0.2528076
4.202999062792877,0.3914185,-0.4111633
4.203655107778819,0.645752,-0.4232178
4.2043111527647605,0.2238617,-0.0401001
4.204967197750703,0.5194702,-0.5801392
4.205623242736644,0.6306152,-0.5432739
4.2062792877225865,0.3637695,-0.7008667
4.206935332708528,0.5501709,-0.2368774
4.20759137769447,0.2012939,-0.7813721
4.2082474226804125,-0.157959,-0.5601807
4.208903467666354,0.0354614,-0.8172607
4.209559512652296,-0.168335,-0.7797241
4.210215557638238,-0.04260254,-0.7975464
4.21087160262418,-0.3053589,-0.7525024
4.211527647610121,-0.5284424,-0.5789185
4.212183692596064,-0.4235229,-0.6808472
4.212839737582005,-0.5852051,-0.5634766
4.213495782567947,-0.1203613,-0.3683472
4.214151827553889,-0.6640015,-0.4404297
4.214807872539831,-0.7612915,-0.2827148
4.215463917525773,-0.6439209,-0.3311768
4.216119962511715,-0.7758789,-0.144165
4.216776007497657,-0.8033447,0.0032349
4.217432052483598,-0.5616455,0.4787598
4.218088097469541,-0.7582397,0.1490479
4.218744142455482,-0.7311401,0.3212891
4.219400187441424,-0.6738281,0.2576904
4.220056232427366,-0.632019,0.446228
4.220712277413308,-0.4997559,0.6189575
4.2213683223992495,-0.5098267,0.557251
4.222024367385192,-0.4100342,0.6519165
4.222680412371134,-0.2766113,0.7240601
4.2233364573570755,-0.2722778,0.7050781
4.223992502343018,-0.133667,0.7559204
4.224648547328959,-0.01263428,0.7680664
4.2253045923149015,0.1335449,0.7514648
4.225960637300843,0.1225586,0.7553711
4.226616682286785,0.3086548,0.677002
4.227272727272727,0.3122559,0.7202759
4.227928772258669,0.434021,0.6499023
4.228584817244611,0.5238037,0.5774536
4.229240862230553,0.5990601,0.4963989
4.229896907216495,0.6652832,0.4100952
4.230552952202436,0.7155151,0.3155518
4.231208997188379,0.7538452,0.2120972
4.23186504217432,0.7789307,0.1036987
4.232521087160262,0.7889404,-0.01287842
4.233177132146204,0.7836304,-0.1417236
4.233833177132146,0.7512817,-0.3060303
4.234489222118087,-0.01782227,-0.2904663
4.23514526710403,0.6749268,-0.2645264
4.235801312089972,0.6171875,-0.4655762
4.236457357075913,0.5778198,-0.3658447
4.237113402061856,0.4971924,-0.5656128
4.237769447047797,0.2174683,-0.7301025
4.238425492033739,0.3546753,-0.6477051
4.239081537019681,0.2115479,-0.7234497
4.239737582005623,0.2382202,-0.687439
4.2403936269915645,0.0516968,-0.75
4.241049671977507,-0.2348633,-0.5472412
4.241705716963448,-0.1224976,-0.7509155
4.2423617619493905,-0.2695923,-0.6976318
4.243017806935333,-0.2509155,-0.744873
4.243673851921274,-0.4252319,-0.6408081
4.2443298969072165,-0.5377808,-0.4267578
4.244985941893158,-0.5700073,-0.5529785
4.2456419868791,-0.6578979,-0.416687
4.246298031865042,-0.4711609,-0.01165771
4.246954076850984,-0.7528076,-0.2851563
4.247610121836925,-0.779541,-0.1040649
4.248266166822868,-0.7473755,-0.2676392
4.24892221180881,-0.807251,0.0556641
4.249578256794751,-0.2245636,0.2539978
4.250234301780694,-0.7863159,0.2038574
4.250890346766635,-0.7253418,0.3717651
4.251546391752577,-0.5426025,0.5775146
4.252202436738519,-0.6661377,0.4454956
4.252858481724461,-0.4977417,0.6553345
4.253514526710402,-0.5742188,0.4780884
4.254170571696345,-0.4015503,0.7103271
4.254826616682286,-0.1838989,0.8084106
4.255482661668228,-0.3258667,0.6808472
4.256138706654171,-0.1010742,0.8106079
4.256794751640112,0.144043,0.819397
4.257450796626054,-0.03240967,0.7611694
4.258106841611996,0.2096558,0.7871094
4.258762886597938,0.4750366,0.6790161
4.2594189315838795,0.3139648,0.7213135
4.260074976569822,0.4813232,0.6542358
4.260731021555763,0.5968628,0.5650635
4.2613870665417055,0.7047729,0.4411621
4.262043111527648,0.4401855,0.5014954
4.262699156513589,0.7451782,0.3219604
4.2633552014995315,0.7991333,0.1884155
4.264011246485473,0.8208008,0.0564575
4.264667291471415,0.8200684,-0.07733154
4.265323336457357,0.7908325,-0.2212524
4.265979381443299,0.6531372,-0.4160156
4.26663542642924,0.7650146,-0.2206421
4.267291471415183,0.6867065,-0.4712524
4.267947516401124,0.536499,-0.6188354
4.268603561387066,0.3763123,0.0148315
4.269259606373009,0.4562378,-0.6982422
4.26991565135895,-0.1120605,-0.5314941
4.270571696344892,0.3500366,-0.7556152
4.271227741330834,0.0805054,-0.8251343
4.271883786316776,0.3446655,-0.6494751
4.272539831302717,-0.02941895,-0.8358154
4.27319587628866,-0.4363403,-0.5336914
4.273851921274601,-0.1618652,-0.807251
4.274507966260543,-0.3981934,-0.7337646
4.275164011246485,-0.1638794,-0.708252
4.275820056232427,-0.5067749,-0.6525879
4.276476101218369,-0.6925049,-0.4577637
4.277132146204311,-0.6019897,-0.5275879
4.277788191190253,-0.7355957,-0.3673096
4.2784442361761945,-0.4793091,-0.4136047
4.279100281162137,-0.7820435,-0.1924438
4.279756326148078,-0.8141479,-0.02026367
4.2804123711340205,-0.7593994,-0.04705811
4.281068416119962,-0.7780151,0.1537476
