# Metadata:utc,2021-01-15 20:06:47.112928|path,D:\waferscreen\nist\10\2021-01-15\scan\raw\scan4.100GHz-6.200GHz_2021-01-15 20-06-47.112928.txt|end_time,1610741207|export_type,scan|fcenter_ghz,6|flux_current_ua,0|flux_supply_v,0|fmax_ghz,6|fmin_ghz,4|fspan_ghz,0|if_bw_hz,100|num_freq_points,22414|port_power_dbm,-20|ramp_series_resistance_ohms,10000|start_time,1610740923|sweeptype,lin|vna_address,GPIB1::19::INSTR
# Header:freq_ghz,real,imag
4.1,0.3010254,0.6813965
4.100093695623076,0.3130493,0.6759644
4.100187391246151,0.3267212,0.6692505
4.100281086869227,0.3357544,0.663147
4.100374782492303,0.3504639,0.6564941
4.1004684781153795,0.3608398,0.6498413
4.100562173738455,0.3721313,0.6427612
4.100655869361531,0.3838501,0.6355591
4.100749564984607,0.3950195,0.628479
4.100843260607682,0.4069824,0.6204224
4.1009369562307585,0.4189453,0.6134033
4.101030651853835,0.4285278,0.6054077
4.101124347476911,0.4398193,0.5974731
4.101218043099986,0.4500732,0.5892944
4.101311738723062,0.4608154,0.5813599
4.101405434346138,0.4708862,0.5723877
4.101499129969214,0.4806519,0.5617676
4.10159282559229,0.4906616,0.5526123
4.101686521215366,0.501709,0.5432739
4.101780216838441,0.5106201,0.5341797
4.101873912461517,0.5206909,0.5249023
4.1019676080845935,0.5289917,0.5166626
4.10206130370767,0.538208,0.5054932
4.102154999330745,0.546936,0.4963989
4.102248694953821,0.5568848,0.4858398
4.102342390576897,0.5656738,0.473938
4.1024360861999725,0.5720215,0.4630737
4.102529781823049,0.5812988,0.453186
4.102623477446125,0.5895996,0.4423218
4.102717173069201,0.5968018,0.4317627
4.102810868692276,0.6054688,0.4210205
4.102904564315352,0.6114502,0.4091187
4.1029982599384285,0.6185913,0.3979492
4.103091955561504,0.6253052,0.3861694
4.10318565118458,0.6331787,0.3745728
4.103279346807656,0.638916,0.3619385
4.103373042430732,0.6456299,0.3518066
4.1034667380538075,0.6522217,0.3403931
4.103560433676884,0.6572876,0.3278809
4.10365412929996,0.6639404,0.3158569
4.103747824923035,0.6679688,0.3044434
4.103841520546111,0.6727905,0.2915039
4.103935216169187,0.6794434,0.27771
4.1040289117922635,0.6831665,0.2664795
4.104122607415339,0.6884766,0.2542114
4.104216303038415,0.6912842,0.2406616
4.104309998661491,0.6972656,0.2277222
4.104403694284566,0.6999512,0.215271
4.1044973899076425,0.7032471,0.2026367
4.104591085530719,0.706665,0.1895752
4.104684781153795,0.7104492,0.1767578
4.10477847677687,0.7131348,0.1647949
4.104872172399946,0.7153931,0.151123
4.104965868023022,0.7175293,0.1377563
4.105059563646098,0.7197266,0.1252441
4.105153259269174,0.7215576,0.1113892
4.10524695489225,0.7233887,0.0990601
