# Metadata:utc,2021-01-15 20:20:31.000462|path,D:\waferscreen\nist\10\2021-01-15\scan\raw\scan4.100GHz-6.200GHz_2021-01-15 20-20-31.000462.txt|end_time,1610742031|export_type,scan|fcenter_ghz,5|flux_current_ua,0|flux_supply_v,0|fmax_ghz,6|fmin_ghz,4|fspan_ghz,1|if_bw_hz,100|num_freq_points,3202|port_power_dbm,-20|ramp_series_resistance_ohms,10000|start_time,1610741990|sweeptype,lin|vna_address,GPIB1::19::INSTR
# Header:freq_ghz,real,imag
4.1,0.3013306,0.6833496
4.100656044985942,0.3828125,0.6376953
4.101312089971883,0.4623413,0.5811157
4.101968134957826,0.52948,0.5160522
4.102624179943767,0.588562,0.4435425
4.103280224929709,0.6398926,0.3637695
4.103936269915651,0.6798706,0.2797852
4.104592314901593,0.7080688,0.1903076
4.1052483598875344,0.7249756,0.0973511
4.105904404873477,0.7305298,0.0063477
4.106560449859418,0.7235107,-0.08569336
4.10721649484536,0.7058105,-0.1759033
4.107872539831303,0.6771851,-0.2647095
4.108528584817244,0.6367798,-0.3479004
4.109184629803186,0.5871582,-0.4257202
4.109840674789128,0.5278931,-0.4959717
4.11049671977507,0.4616699,-0.5586548
4.1111527647610115,0.3858032,-0.6120605
4.111808809746954,0.305603,-0.6560059
4.112464854732895,0.2211304,-0.6884766
4.1131208997188375,0.1318359,-0.7106323
4.11377694470478,0.0414429,-0.7215576
4.114432989690721,-0.0501709,-0.7210083
4.1150890346766635,-0.140686,-0.7084961
4.115745079662605,-0.2296143,-0.6852417
4.116401124648547,-0.3152466,-0.6524048
4.117057169634489,-0.3953247,-0.6083984
4.117713214620431,-0.4696045,-0.5525513
4.118369259606372,-0.5361328,-0.4890747
4.119025304592315,-0.5955811,-0.4178467
4.119681349578256,-0.6442261,-0.3390503
4.120337394564198,-0.6828613,-0.2553711
4.120993439550141,-0.7098389,-0.1669312
4.121649484536082,-0.7276611,-0.07617188
4.122305529522024,-0.7328491,0.017334
4.122961574507966,-0.7272339,0.1103516
4.123617619493908,-0.7073364,0.2026367
4.124273664479849,-0.6760254,0.2918091
4.124929709465792,-0.6363525,0.3770142
4.125585754451733,-0.5841675,0.4564819
4.126241799437675,-0.5216675,0.5278931
4.126897844423617,-0.4528809,0.5917969
4.127553889409559,-0.373291,0.6473389
4.128209934395501,-0.2868042,0.6911011
4.128865979381443,-0.197937,0.7249756
4.129522024367385,-0.1033936,0.7476196
