Timestamp,Test Time,Log Comments,PS_V,960V,PS_I,RLeads,Pressure,Tset,Snout Coil Set,ADR 50mK,PT 60K,PT 3K,Magnet Diode,Auxiliary,ADR 1K,Magnet RTD,H20 Inlet Temp,H20 Outlet Temp,Helium Temp,Oil Temp,High Side Press,Low Side Press,Current,Runtime (min),921_R,922_1_V,922_2_V,922_3_V,922_4_V,923A1_R,923A2_R
04/30/2021 12:46:31.281,23.095428,,0.785535,0.402617,0.058887,13.376171,0.000000,0.075000,0.000000,0.073737650,56.733000,2.441000,2.843000,309.582000,0.041973,2.000000,10.300000,23.400000,58.800000,25.800000,264.700000,94.200000,10.000000,23712.150000,25695.820000,1.058226,1.696644,1.615710,0.495846,40514.000000,166051.500000
04/30/2021 12:46:32.278,24.093441,,0.840213,0.422208,0.062646,13.339592,0.000000,0.075000,0.000000,0.073619900,56.733000,2.443000,2.842000,309.595000,0.041426,2.000000,10.300000,23.400000,59.000000,25.800000,267.900000,97.600000,10.000000,23712.150000,25815.370000,1.058225,1.696591,1.615718,0.495756,41247.780000,166051.500000
04/30/2021 12:46:33.278,25.093452,,0.882306,0.444757,0.066590,13.412070,0.000000,0.075000,0.000000,0.073565850,56.733000,2.439000,2.842000,309.567000,0.040556,2.000000,10.300000,23.400000,58.900000,25.700000,276.900000,100.600000,10.000000,23712.150000,25810.510000,1.058226,1.696690,1.615727,0.495882,42481.630000,166051.500000
04/30/2021 12:46:34.296,26.093464,,0.923124,0.460611,0.069908,13.249739,0.000000,0.075000,0.000000,0.073599930,56.733000,2.434000,2.842000,309.564000,0.040080,2.000000,10.300000,23.500000,58.800000,25.700000,263.000000,87.800000,9.000000,23712.150000,25790.390000,1.058225,1.696988,1.615731,0.495889,43220.170000,166051.500000
04/30/2021 12:46:36.284,28.093110,,1.001516,0.516619,0.076200,13.120287,0.000000,0.075000,0.000000,0.073417930,56.731000,2.428000,2.841000,309.619000,0.039957,2.000000,10.300000,23.400000,58.800000,25.800000,263.600000,93.100000,10.000000,23712.150000,25869.680000,1.058228,1.697014,1.615754,0.495750,43411.580000,166051.500000
04/30/2021 12:46:37.287,29.094121,,1.059071,0.527501,0.080147,13.143335,0.000000,0.075000,0.000000,0.073447280,56.733000,2.434000,2.841000,309.627000,0.039782,2.000000,10.300000,23.600000,58.900000,25.700000,268.500000,99.700000,9.000000,23712.150000,25871.150000,1.058227,1.696824,1.615759,0.495736,43683.080000,166051.500000
04/30/2021 12:46:38.285,30.094133,,1.090366,0.545196,0.083944,13.214110,0.000000,0.075000,0.000000,0.073522170,56.731000,2.440000,2.841000,309.651000,0.039512,2.000000,10.300000,23.300000,59.000000,25.700000,276.300000,99.000000,10.000000,23712.150000,25961.360000,1.058228,1.696613,1.615767,0.495678,44103.570000,166051.500000
04/30/2021 12:46:39.302,31.094145,,1.150127,0.576541,0.087542,12.989132,0.000000,0.075000,0.000000,0.073186850,56.732000,2.438000,2.840000,309.690000,0.039329,2.000000,10.100000,23.500000,59.000000,25.800000,267.700000,97.000000,9.000000,23712.150000,25991.330000,1.058227,1.696720,1.615783,0.495585,44389.880000,166051.500000
04/30/2021 12:46:41.289,33.087729,,1.104473,0.556996,0.089102,12.710120,0.000000,0.075000,0.000000,0.074149220,56.731000,2.428000,2.840000,309.681000,0.040061,2.000000,10.300000,23.500000,58.900000,25.700000,263.300000,92.100000,10.000000,23712.150000,25539.890000,1.058229,1.697015,1.615793,0.495607,43249.430000,166051.500000
04/30/2021 12:46:42.291,34.094741,,1.154984,0.575614,0.089561,12.395567,0.000000,0.075000,0.000000,0.073865360,56.731000,2.425000,2.839000,309.700000,0.040764,2.000000,10.200000,23.500000,59.000000,25.800000,269.800000,101.500000,10.000000,23712.150000,25778.820000,1.058229,1.697016,1.615800,0.495562,42157.470000,166051.500000
