"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+009, +5.46736022094E-002, -2.64827238392E-002
+4.20002000200E+009, +5.44759598321E-002, -2.68512482777E-002
+4.20004000400E+009, +5.42929245904E-002, -2.72447573502E-002
+4.20006000600E+009, +5.40956250404E-002, -2.76408484364E-002
+4.20008000800E+009, +5.38569505507E-002, -2.80397886389E-002
+4.20010001000E+009, +5.36710751608E-002, -2.84148653571E-002
+4.20012001200E+009, +5.34877856786E-002, -2.88037277705E-002
+4.20014001400E+009, +5.32661381790E-002, -2.91911454660E-002
+4.20016001600E+009, +5.30369452284E-002, -2.95391329068E-002
+4.20018001800E+009, +5.28282991503E-002, -2.99446267889E-002
+4.20020002000E+009, +5.26146677949E-002, -3.03241530365E-002
+4.20022002200E+009, +5.23739940894E-002, -3.06762234053E-002
+4.20024002400E+009, +5.21342493814E-002, -3.10571514093E-002
+4.20026002600E+009, +5.19207688305E-002, -3.14518614660E-002
+4.20028002800E+009, +5.16812574724E-002, -3.18401552213E-002
+4.20030003000E+009, +5.14736200252E-002, -3.22132138638E-002
+4.20032003200E+009, +5.12500034086E-002, -3.25581458561E-002
+4.20034003400E+009, +5.09689225294E-002, -3.29313743128E-002
+4.20036003600E+009, +5.07358210060E-002, -3.32559213432E-002
+4.20038003800E+009, +5.05234286523E-002, -3.36575869234E-002
+4.20040004000E+009, +5.02558512513E-002, -3.40176935535E-002
+4.20042004200E+009, +5.00284425228E-002, -3.43690381502E-002
+4.20044004400E+009, +4.97574543068E-002, -3.47480393478E-002
+4.20046004600E+009, +4.94993877916E-002, -3.50942066075E-002
+4.20048004800E+009, +4.92400884762E-002, -3.54147981491E-002
+4.20050005001E+009, +4.89945186908E-002, -3.57639862129E-002
+4.20052005201E+009, +4.87294975895E-002, -3.61417718954E-002
+4.20054005401E+009, +4.85026579350E-002, -3.64838767484E-002
+4.20056005601E+009, +4.82057452492E-002, -3.68354901742E-002
+4.20058005801E+009, +4.79313435411E-002, -3.71613925456E-002
+4.20060006001E+009, +4.76519422621E-002, -3.75057063795E-002
+4.20062006201E+009, +4.73900407338E-002, -3.78360204481E-002
+4.20064006401E+009, +4.71037230803E-002, -3.81810516877E-002
+4.20066006601E+009, +4.68443725572E-002, -3.85533579202E-002
+4.20068006801E+009, +4.65221303338E-002, -3.88613566100E-002
+4.20070007001E+009, +4.62733484985E-002, -3.91783133716E-002
+4.20072007201E+009, +4.60002562550E-002, -3.95325600454E-002
+4.20074007401E+009, +4.57004994487E-002, -3.98564879982E-002
+4.20076007601E+009, +4.54067678648E-002, -4.01683700760E-002
+4.20078007801E+009, +4.50945720564E-002, -4.04855682308E-002
+4.20080008001E+009, +4.48101735161E-002, -4.08127188723E-002
+4.20082008201E+009, +4.45135282566E-002, -4.11350073927E-002
+4.20084008401E+009, +4.42136250225E-002, -4.14787108271E-002
+4.20086008601E+009, +4.39242310999E-002, -4.17830951356E-002
+4.20088008801E+009, +4.35980270027E-002, -4.20639714398E-002
+4.20090009001E+009, +4.33421581677E-002, -4.23768693457E-002
+4.20092009201E+009, +4.29877579180E-002, -4.26900308959E-002
+4.20094009401E+009, +4.26944966773E-002, -4.30239347681E-002
+4.20096009601E+009, +4.23747188422E-002, -4.33114431281E-002
+4.20098009801E+009, +4.20727098787E-002, -4.36145926396E-002
+4.20100010001E+009, +4.17522323482E-002, -4.39042815581E-002
+4.20102010201E+009, +4.14103331372E-002, -4.41976257185E-002
+4.20104010401E+009, +4.10976489186E-002, -4.44958416912E-002
+4.20106010601E+009, +4.07699822783E-002, -4.48073028731E-002
+4.20108010801E+009, +4.04599122259E-002, -4.50928980494E-002
+4.20110011001E+009, +4.01300072140E-002, -4.53944804222E-002
+4.20112011201E+009, +3.97951739797E-002, -4.56595854938E-002
+4.20114011401E+009, +3.94423013128E-002, -4.59329152059E-002
+4.20116011601E+009, +3.91582481733E-002, -4.61927556608E-002
+4.20118011801E+009, +3.87953169815E-002, -4.64923114069E-002
+4.20120012001E+009, +3.84488507466E-002, -4.67567781996E-002
+4.20122012201E+009, +3.81089532732E-002, -4.70428551841E-002
+4.20124012401E+009, +3.77753676505E-002, -4.73318296199E-002
+4.20126012601E+009, +3.74397738339E-002, -4.75870575346E-002
+4.20128012801E+009, +3.70778021902E-002, -4.78224925190E-002
+4.20130013001E+009, +3.67209823517E-002, -4.81153533297E-002
+4.20132013201E+009, +3.64046619983E-002, -4.83824768351E-002
+4.20134013401E+009, +3.60335119220E-002, -4.86421219584E-002
+4.20136013601E+009, +3.56789596605E-002, -4.89077124576E-002
+4.20138013801E+009, +3.53147782102E-002, -4.91280124143E-002
+4.20140014001E+009, +3.50016618740E-002, -4.93649225179E-002
+4.20142014201E+009, +3.46111646545E-002, -4.96366753617E-002
+4.20144014401E+009, +3.42531568320E-002, -4.98694313292E-002
+4.20146014601E+009, +3.38946307408E-002, -5.01164981450E-002
+4.20148014801E+009, +3.35215585487E-002, -5.03800955621E-002
+4.20150015002E+009, +3.31840879407E-002, -5.06118614383E-002
+4.20152015202E+009, +3.28308895692E-002, -5.08055430443E-002
+4.20154015402E+009, +3.24340935621E-002, -5.10665407291E-002
+4.20156015602E+009, +3.20840023556E-002, -5.12792486198E-002
+4.20158015802E+009, +3.16976706257E-002, -5.15152416515E-002
+4.20160016002E+009, +3.13502861378E-002, -5.17632318877E-002
+4.20162016202E+009, +3.09667798831E-002, -5.19597380763E-002
+4.20164016402E+009, +3.05679005378E-002, -5.21822294356E-002
+4.20166016602E+009, +3.02203304163E-002, -5.23902845232E-002
+4.20168016802E+009, +2.97991951858E-002, -5.26068429304E-002
+4.20170017002E+009, +2.94490062903E-002, -5.28351445079E-002
+4.20172017202E+009, +2.90627512103E-002, -5.30569819649E-002
+4.20174017402E+009, +2.86869419764E-002, -5.32298255570E-002
+4.20176017602E+009, +2.82789373798E-002, -5.34637931469E-002
+4.20178017802E+009, +2.79024535976E-002, -5.36363537022E-002
+4.20180018002E+009, +2.75113260611E-002, -5.38345054669E-002
+4.20182018202E+009, +2.71199190384E-002, -5.40383398672E-002
+4.20184018402E+009, +2.67258665563E-002, -5.42210504590E-002
+4.20186018602E+009, +2.63344543372E-002, -5.44145046269E-002
+4.20188018802E+009, +2.59518833718E-002, -5.46055352616E-002
+4.20190019002E+009, +2.55535686195E-002, -5.47789654300E-002
+4.20192019202E+009, +2.51558632009E-002, -5.49745691856E-002
+4.20194019402E+009, +2.47213041250E-002, -5.51230736167E-002
+4.20196019602E+009, +2.43678686573E-002, -5.53159684651E-002
+4.20198019802E+009, +2.39720696447E-002, -5.54812850421E-002
+4.20200020002E+009, +2.35798484314E-002, -5.56549150831E-002
+4.20202020202E+009, +2.31658540970E-002, -5.58346885404E-002
+4.20204020402E+009, +2.27630128470E-002, -5.59660504605E-002
+4.20206020602E+009, +2.23804502902E-002, -5.61226884802E-002
+4.20208020802E+009, +2.19474849038E-002, -5.62763430925E-002
+4.20210021002E+009, +2.15593205513E-002, -5.64421278472E-002
+4.20212021202E+009, +2.11403912568E-002, -5.65669435093E-002
+4.20214021402E+009, +2.07080721903E-002, -5.67476592464E-002
+4.20216021602E+009, +2.03069680028E-002, -5.69043764279E-002
+4.20218021802E+009, +1.98892021461E-002, -5.70451343947E-002
+4.20220022002E+009, +1.94733986561E-002, -5.71580339012E-002
+4.20222022202E+009, +1.90754776737E-002, -5.72858076899E-002
+4.20224022402E+009, +1.86654579546E-002, -5.74757669878E-002
+4.20226022602E+009, +1.82495856801E-002, -5.75856689079E-002
+4.20228022802E+009, +1.78419334702E-002, -5.77074445183E-002
+4.20230023002E+009, +1.73995758776E-002, -5.78359574242E-002
+4.20232023202E+009, +1.69856947522E-002, -5.79150824604E-002
+4.20234023402E+009, +1.65542176467E-002, -5.80466296063E-002
+4.20236023602E+009, +1.61584640221E-002, -5.81542098953E-002
