"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.60110011001E+009, +4.45991629838E-002, -2.25556902422E-002
+4.60112011201E+009, +4.45083834149E-002, -2.28401114102E-002
+4.60114011401E+009, +4.42703429388E-002, -2.31477549811E-002
+4.60116011601E+009, +4.41595181879E-002, -2.34411193567E-002
+4.60118011801E+009, +4.39012155248E-002, -2.37720413968E-002
+4.60120012001E+009, +4.37920844169E-002, -2.42066319237E-002
+4.60122012201E+009, +4.35848901566E-002, -2.43707760618E-002
+4.60124012401E+009, +4.34601273972E-002, -2.47967285152E-002
+4.60126012601E+009, +4.32511336225E-002, -2.49929103099E-002
+4.60128012801E+009, +4.30338064957E-002, -2.53122173251E-002
+4.60130013001E+009, +4.28673463125E-002, -2.56115214414E-002
+4.60132013201E+009, +4.27051309800E-002, -2.60253315755E-002
+4.60134013401E+009, +4.25220452662E-002, -2.62408046431E-002
+4.60136013601E+009, +4.22943147465E-002, -2.66467853764E-002
+4.60138013801E+009, +4.21446019924E-002, -2.68860948772E-002
+4.60140014001E+009, +4.19619995875E-002, -2.71959466371E-002
+4.60142014201E+009, +4.16514983924E-002, -2.74997098817E-002
+4.60144014401E+009, +4.15390955385E-002, -2.78142540796E-002
+4.60146014601E+009, +4.13004318529E-002, -2.80114892809E-002
+4.60148014801E+009, +4.11420030271E-002, -2.83788176799E-002
+4.60150015002E+009, +4.09075928503E-002, -2.86413510527E-002
+4.60152015202E+009, +4.07527232446E-002, -2.90223861973E-002
+4.60154015402E+009, +4.05068977433E-002, -2.93182659182E-002
+4.60156015602E+009, +4.02631010984E-002, -2.96004244980E-002
+4.60158015802E+009, +4.00857746857E-002, -2.99177137264E-002
+4.60160016002E+009, +3.98973805990E-002, -3.00947629602E-002
+4.60162016202E+009, +3.96681118832E-002, -3.05252184174E-002
+4.60164016402E+009, +3.94349424620E-002, -3.07586208234E-002
+4.60166016602E+009, +3.91928639023E-002, -3.09626336387E-002
+4.60168016802E+009, +3.89223859176E-002, -3.13214031950E-002
+4.60170017002E+009, +3.88125083190E-002, -3.14668487698E-002
+4.60172017202E+009, +3.84675257271E-002, -3.17886256564E-002
+4.60174017402E+009, +3.82560175281E-002, -3.21719670174E-002
+4.60176017602E+009, +3.80519962942E-002, -3.23659362808E-002
+4.60178017802E+009, +3.78000941338E-002, -3.27338270862E-002
+4.60180018002E+009, +3.75974455000E-002, -3.29772784829E-002
+4.60182018202E+009, +3.73497432072E-002, -3.32594485985E-002
+4.60184018402E+009, +3.71515597004E-002, -3.33998412746E-002
+4.60186018602E+009, +3.68423245494E-002, -3.37849667392E-002
+4.60188018802E+009, +3.66682805463E-002, -3.41210481252E-002
+4.60190019002E+009, +3.63977068147E-002, -3.42958200603E-002
+4.60192019202E+009, +3.61539720634E-002, -3.44609302679E-002
+4.60194019402E+009, +3.57931356667E-002, -3.48853591275E-002
+4.60196019602E+009, +3.56552584848E-002, -3.50742543903E-002
+4.60198019802E+009, +3.53556317641E-002, -3.53179723121E-002
+4.60200020002E+009, +3.51265743468E-002, -3.56441886124E-002
+4.60202020202E+009, +3.48853312093E-002, -3.58405779314E-002
+4.60204020402E+009, +3.45750897637E-002, -3.60309412738E-002
+4.60206020602E+009, +3.43172563192E-002, -3.63732971382E-002
+4.60208020802E+009, +3.40531692038E-002, -3.65849411601E-002
+4.60210021002E+009, +3.38132796291E-002, -3.68112252333E-002
+4.60212021202E+009, +3.34994116108E-002, -3.70980721651E-002
+4.60214021402E+009, +3.33096808005E-002, -3.73445542302E-002
+4.60216021602E+009, +3.30482466463E-002, -3.75665002822E-002
+4.60218021802E+009, +3.27072497793E-002, -3.77464282744E-002
+4.60220022002E+009, +3.25152390523E-002, -3.80291136314E-002
+4.60222022202E+009, +3.22064270875E-002, -3.82388370214E-002
