"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.00000000000E+009, -7.56624987835E-002, +2.28457107372E-002
+4.00002000200E+009, -7.54855430412E-002, +2.33948677568E-002
+4.00004000400E+009, -7.53111987937E-002, +2.39378940297E-002
+4.00006000600E+009, -7.51346646327E-002, +2.45140868381E-002
+4.00008000800E+009, -7.49669802251E-002, +2.50343122914E-002
+4.00010001000E+009, -7.48020241989E-002, +2.55841411099E-002
+4.00012001200E+009, -7.46132044363E-002, +2.60996534381E-002
+4.00014001400E+009, -7.43946995026E-002, +2.66277040147E-002
+4.00016001600E+009, -7.42134111418E-002, +2.71896468194E-002
+4.00018001800E+009, -7.40547722471E-002, +2.77337940105E-002
+4.00020002000E+009, -7.38472507354E-002, +2.82520711157E-002
+4.00022002200E+009, -7.36183132550E-002, +2.88020489220E-002
+4.00024002400E+009, -7.33918712541E-002, +2.93155475914E-002
+4.00026002600E+009, -7.31852616330E-002, +2.98505345347E-002
+4.00028002800E+009, -7.29930907588E-002, +3.03760580345E-002
+4.00030003000E+009, -7.27660945491E-002, +3.09341365824E-002
+4.00032003200E+009, -7.25384335578E-002, +3.14244636737E-002
+4.00034003400E+009, -7.23059012662E-002, +3.19458782273E-002
+4.00036003600E+009, -7.20503909294E-002, +3.24696805839E-002
+4.00038003800E+009, -7.18328188662E-002, +3.29908093383E-002
+4.00040004000E+009, -7.15653446999E-002, +3.34941413449E-002
+4.00042004200E+009, -7.13651339239E-002, +3.40162939255E-002
+4.00044004400E+009, -7.11301015287E-002, +3.45528961872E-002
+4.00046004600E+009, -7.08556374061E-002, +3.50497423521E-002
+4.00048004800E+009, -7.06154211090E-002, +3.55660128880E-002
+4.00050005001E+009, -7.03333170151E-002, +3.60510337995E-002
+4.00052005201E+009, -7.00768442031E-002, +3.65942575091E-002
+4.00054005401E+009, -6.98106267111E-002, +3.70771868715E-002
+4.00056005601E+009, -6.95399194876E-002, +3.75961878433E-002
+4.00058005801E+009, -6.92793991958E-002, +3.81130977624E-002
+4.00060006001E+009, -6.89693649296E-002, +3.86305157404E-002
+4.00062006201E+009, -6.87339304356E-002, +3.91223846690E-002
+4.00064006401E+009, -6.84327295500E-002, +3.95801145349E-002
+4.00066006601E+009, -6.81471948531E-002, +4.00951339022E-002
+4.00068006801E+009, -6.78720563331E-002, +4.05871309695E-002
+4.00070007001E+009, -6.75560132922E-002, +4.10879696750E-002
+4.00072007201E+009, -6.72518308342E-002, +4.15898607521E-002
+4.00074007401E+009, -6.69797031625E-002, +4.20403284218E-002
+4.00076007601E+009, -6.66490010314E-002, +4.25182296418E-002
+4.00078007801E+009, -6.63292677850E-002, +4.30230537554E-002
+4.00080008001E+009, -6.60604083014E-002, +4.34831858738E-002
+4.00082008201E+009, -6.57350036860E-002, +4.39798303262E-002
+4.00084008401E+009, -6.54494034352E-002, +4.44449743705E-002
+4.00086008601E+009, -6.51042062100E-002, +4.49543366931E-002
+4.00088008801E+009, -6.47600833533E-002, +4.54089504495E-002
+4.00090009001E+009, -6.44251149768E-002, +4.58201298306E-002
+4.00092009201E+009, -6.40925583871E-002, +4.63430809910E-002
