"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.00000000000E+009, -7.57098876753E-002, +2.27001702290E-002
+4.00010001000E+009, -7.47445749557E-002, +2.54042191446E-002
+4.00020002000E+009, -7.38195463631E-002, +2.81171839804E-002
+4.00030003000E+009, -7.28649078567E-002, +3.08384189998E-002
+4.00040004000E+009, -7.15898135419E-002, +3.34219991776E-002
+4.00050005001E+009, -7.04666194039E-002, +3.60379069794E-002
+4.00060006001E+009, -6.90944322243E-002, +3.84831524068E-002
+4.00070007001E+009, -6.76185300925E-002, +4.08963393932E-002
+4.00080008001E+009, -6.61124972389E-002, +4.34233747883E-002
+4.00090009001E+009, -6.45207155184E-002, +4.57147847210E-002
+4.00100010001E+009, -6.28047607305E-002, +4.80640506632E-002
+4.00110011001E+009, -6.10008882136E-002, +5.03546078744E-002
+4.00120012001E+009, -5.92503081669E-002, +5.25145185630E-002
+4.00130013001E+009, -5.72286547282E-002, +5.46343877709E-002
+4.00140014001E+009, -5.51948320619E-002, +5.67050359618E-002
+4.00150015002E+009, -5.32416292646E-002, +5.86300673530E-002
+4.00160016002E+009, -5.10610642993E-002, +6.04061332558E-002
+4.00170017002E+009, -4.89144525072E-002, +6.23052634416E-002
+4.00180018002E+009, -4.65577597090E-002, +6.40820444466E-002
+4.00190019002E+009, -4.40899631797E-002, +6.56080197403E-002
+4.00200020002E+009, -4.17533936655E-002, +6.71716309918E-002
+4.00210021002E+009, -3.93579934823E-002, +6.87674437650E-002
+4.00220022002E+009, -3.68041987914E-002, +7.01348089109E-002
+4.00230023002E+009, -3.43083458044E-002, +7.14432033243E-002
+4.00240024002E+009, -3.16229502058E-002, +7.26366562248E-002
+4.00250025003E+009, -2.89475365279E-002, +7.37233849033E-002
+4.00260026003E+009, -2.63876379945E-002, +7.47001266527E-002
+4.00270027003E+009, -2.36094150873E-002, +7.56613015186E-002
+4.00280028003E+009, -2.08733739492E-002, +7.63028372131E-002
+4.00290029003E+009, -1.81621798552E-002, +7.71016494429E-002
+4.00300030003E+009, -1.53018937708E-002, +7.78131295040E-002
+4.00310031003E+009, -1.24504111668E-002, +7.82977885120E-002
+4.00320032003E+009, -9.61087248843E-003, +7.87193404848E-002
+4.00330033003E+009, -6.80436658154E-003, +7.90462160034E-002
+4.00340034003E+009, -3.82317899329E-003, +7.92042147263E-002
+4.00350035004E+009, -1.07396841947E-003, +7.92724812187E-002
+4.00360036004E+009, +1.85166032596E-003, +7.93110176072E-002
+4.00370037004E+009, +4.64846939526E-003, +7.91567017574E-002
+4.00380038004E+009, +7.51183791694E-003, +7.89260416630E-002
+4.00390039004E+009, +1.04654001179E-002, +7.87224889818E-002
+4.00400040004E+009, +1.33225562525E-002, +7.82746387256E-002
+4.00410041004E+009, +1.61499318294E-002, +7.77339479728E-002
+4.00420042004E+009, +1.88861853637E-002, +7.71339558411E-002
+4.00430043004E+009, +2.16791678200E-002, +7.63675383386E-002
+4.00440044004E+009, +2.44947539050E-002, +7.55315541159E-002
+4.00450045005E+009, +2.71670452972E-002, +7.46457760118E-002
+4.00460046005E+009, +2.99843179663E-002, +7.36431373024E-002
+4.00470047005E+009, +3.25486350950E-002, +7.24160312920E-002
+4.00480048005E+009, +3.51569533710E-002, +7.12215563451E-002
+4.00490049005E+009, +3.76927415464E-002, +6.98632934780E-002
+4.00500050005E+009, +4.02304969303E-002, +6.84784579519E-002
+4.00510051005E+009, +4.26336844656E-002, +6.70182514809E-002
+4.00520052005E+009, +4.51144610429E-002, +6.54181284566E-002
+4.00530053005E+009, +4.74159420551E-002, +6.36237267079E-002
+4.00540054005E+009, +4.95938600452E-002, +6.19825540913E-002
+4.00550055006E+009, +5.18512927321E-002, +6.01124533155E-002
+4.00560056006E+009, +5.41159414064E-002, +5.82499560427E-002
+4.00570057006E+009, +5.61518349476E-002, +5.63036749929E-002
+4.00580058006E+009, +5.81281331494E-002, +5.41929961639E-002
+4.00590059006E+009, +6.01308623258E-002, +5.20126790800E-002
+4.00600060006E+009, +6.19986479309E-002, +4.97772207034E-002
+4.00610061006E+009, +6.36768445139E-002, +4.75564482288E-002
+4.00620062006E+009, +6.54597027540E-002, +4.51608486491E-002
+4.00630063006E+009, +6.69788463306E-002, +4.27513235855E-002
+4.00640064006E+009, +6.85696938006E-002, +4.03910829763E-002
+4.00650065007E+009, +7.00000056472E-002, +3.78283606838E-002
+4.00660066007E+009, +7.14186794264E-002, +3.53388045134E-002
+4.00670067007E+009, +7.25618551567E-002, +3.26153586330E-002
+4.00680068007E+009, +7.36590974089E-002, +3.00303019058E-002
+4.00690069007E+009, +7.47527890036E-002, +2.73258597400E-002
+4.00700070007E+009, +7.57335485681E-002, +2.45930831094E-002
+4.00710071007E+009, +7.65221580813E-002, +2.18017518278E-002
+4.00720072007E+009, +7.73201160572E-002, +1.90411451129E-002
+4.00730073007E+009, +7.79745941238E-002, +1.62942790956E-002
+4.00740074007E+009, +7.86095908551E-002, +1.34180122500E-002
+4.00750075008E+009, +7.89667333174E-002, +1.04672140377E-002
+4.00760076008E+009, +7.93050424774E-002, +7.62705562275E-003
+4.00770077008E+009, +7.95669417621E-002, +4.76286345305E-003
+4.00780078008E+009, +7.96152715367E-002, +1.78930148263E-003
+4.00790079008E+009, +7.96510223393E-002, -9.49703005668E-004
+4.00800080008E+009, +7.95439833811E-002, -3.88948229213E-003
+4.00810081008E+009, +7.94107732951E-002, -6.82018277139E-003
+4.00820082008E+009, +7.90392249890E-002, -9.67028184733E-003
+4.00830083008E+009, +7.86885909116E-002, -1.25390980706E-002
+4.00840084008E+009, +7.81932334715E-002, -1.53675504813E-002
+4.00850085009E+009, +7.76750829111E-002, -1.83164322300E-002
+4.00860086009E+009, +7.67932305239E-002, -2.09996467826E-002
+4.00870087009E+009, +7.60622672348E-002, -2.37958568074E-002
+4.00880088009E+009, +7.51087013254E-002, -2.65996824098E-002
+4.00890089009E+009, +7.41246827156E-002, -2.92790394028E-002
+4.00900090009E+009, +7.30007263894E-002, -3.20349731033E-002
+4.00910091009E+009, +7.18695438183E-002, -3.46148856178E-002
+4.00920092009E+009, +7.05146070266E-002, -3.71738432715E-002
+4.00930093009E+009, +6.90952833626E-002, -3.98077868953E-002
+4.00940094009E+009, +6.75797101091E-002, -4.22698565761E-002
+4.00950095010E+009, +6.60540671214E-002, -4.46154615618E-002
+4.00960096010E+009, +6.43763064009E-002, -4.70416869811E-002
+4.00970097010E+009, +6.26354265253E-002, -4.93050829468E-002
+4.00980098010E+009, +6.08301399495E-002, -5.17158721395E-002
+4.00990099010E+009, +5.88903523766E-002, -5.38944809720E-002
+4.01000100010E+009, +5.69138260737E-002, -5.58868342758E-002
+4.01010101010E+009, +5.48660648984E-002, -5.79213453113E-002
+4.01020102010E+009, +5.27394049920E-002, -5.99203250879E-002
+4.01030103010E+009, +5.04253139481E-002, -6.17818856688E-002
+4.01040104010E+009, +4.81558638542E-002, -6.35549368805E-002
+4.01050105011E+009, +4.58343628635E-002, -6.52638436867E-002
+4.01060106011E+009, +4.34724921447E-002, -6.69325901727E-002
+4.01070107011E+009, +4.09811658507E-002, -6.85076940686E-002
+4.01080108011E+009, +3.85383613619E-002, -6.99361763321E-002
+4.01090109011E+009, +3.58523956177E-002, -7.13071365824E-002
+4.01100110011E+009, +3.32571405132E-002, -7.25427919433E-002
+4.01110111011E+009, +3.07208676052E-002, -7.37338406812E-002
+4.01120112011E+009, +2.78904027622E-002, -7.47455412026E-002
+4.01130113011E+009, +2.51882047588E-002, -7.57522799487E-002
+4.01140114011E+009, +2.24215586614E-002, -7.65883838825E-002
+4.01150115012E+009, +1.95775454889E-002, -7.73912329029E-002
+4.01160116012E+009, +1.67273699118E-002, -7.81063304493E-002
+4.01170117012E+009, +1.39103544937E-002, -7.86460785512E-002
+4.01180118012E+009, +1.10411433434E-002, -7.90199530278E-002
+4.01190119012E+009, +8.19164692105E-003, -7.93435942192E-002
+4.01200120012E+009, +5.23157920336E-003, -7.96186778393E-002
+4.01210121012E+009, +2.30733696242E-003, -7.96695353223E-002
+4.01220122012E+009, -5.79210186531E-004, -7.97028192755E-002
+4.01230123012E+009, -3.44031039119E-003, -7.97596421055E-002
+4.01240124012E+009, -6.47327926557E-003, -7.95675942931E-002
+4.01250125013E+009, -9.28861479998E-003, -7.93020265448E-002
+4.01260126013E+009, -1.21462452797E-002, -7.88840762722E-002
+4.01270127013E+009, -1.49974176633E-002, -7.84023189496E-002
+4.01280128013E+009, -1.78051554870E-002, -7.77523768720E-002
+4.01290129013E+009, -2.06957989257E-002, -7.70430335216E-002
+4.01300130013E+009, -2.34566235631E-002, -7.62096190967E-002
+4.01310131013E+009, -2.61567873347E-002, -7.53524749908E-002
+4.01320132013E+009, -2.89539581590E-002, -7.43124196821E-002
+4.01330133013E+009, -3.16352539163E-002, -7.32244410450E-002
+4.01340134013E+009, -3.42886015548E-002, -7.20191349603E-002
+4.01350135014E+009, -3.68941654513E-002, -7.06775558881E-002
+4.01360136014E+009, -3.93822920564E-002, -6.92935492566E-002
+4.01370137014E+009, -4.19235097845E-002, -6.78084046711E-002
+4.01380138014E+009, -4.42746043798E-002, -6.62514504615E-002
+4.01390139014E+009, -4.66892638489E-002, -6.45616198601E-002
+4.01400140014E+009, -4.90555137389E-002, -6.28078819046E-002
+4.01410141014E+009, -5.13410169635E-002, -6.10363988520E-002
+4.01420142014E+009, -5.34630956993E-002, -5.91830747933E-002
+4.01430143014E+009, -5.56636896361E-002, -5.71309766440E-002
+4.01440144014E+009, -5.77158436717E-002, -5.50151433508E-002
+4.01450145015E+009, -5.95876422616E-002, -5.28723957838E-002
+4.01460146015E+009, -6.14955265883E-002, -5.06724123932E-002
+4.01470147015E+009, -6.32629790093E-002, -4.84321943764E-002
+4.01480148015E+009, -6.49346487581E-002, -4.61206060958E-002
+4.01490149015E+009, -6.65647156835E-002, -4.36783074235E-002
+4.01500150015E+009, -6.81280265519E-002, -4.11475039078E-002
+4.01510151015E+009, -6.95965661225E-002, -3.86671785008E-002
+4.01520152015E+009, -7.09084270279E-002, -3.61307199057E-002
+4.01530153015E+009, -7.22069979725E-002, -3.35140096016E-002
+4.01540154015E+009, -7.34259509456E-002, -3.08916175581E-002
+4.01550155016E+009, -7.43413464403E-002, -2.80556711028E-002
+4.01560156016E+009, -7.53616195181E-002, -2.53615671239E-002
+4.01570157016E+009, -7.62582732730E-002, -2.27259824371E-002
+4.01580158016E+009, -7.69727627419E-002, -1.99277778311E-002
+4.01590159016E+009, -7.76626355585E-002, -1.70386583222E-002
+4.01600160016E+009, -7.82212607457E-002, -1.42533118230E-002
+4.01610161016E+009, -7.87774769707E-002, -1.13983487551E-002
