"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.80000000000E+009, -4.56088123349E-002, +4.96094791932E-003
+4.80002000200E+009, -4.57305424515E-002, +5.24868586960E-003
+4.80004000400E+009, -4.56622269561E-002, +5.54223043611E-003
+4.80006000600E+009, -4.55531634090E-002, +5.90431539734E-003
+4.80008000800E+009, -4.55087031274E-002, +6.22360808322E-003
+4.80010001000E+009, -4.54925996133E-002, +6.49128433837E-003
+4.80012001200E+009, -4.55467269844E-002, +6.86271942465E-003
+4.80014001400E+009, -4.53949566348E-002, +7.16244018386E-003
+4.80016001600E+009, -4.52967410459E-002, +7.45618823348E-003
+4.80018001800E+009, -4.52536324215E-002, +7.78431679775E-003
+4.80020002000E+009, -4.51342032252E-002, +8.13933141143E-003
+4.80022002200E+009, -4.51874691506E-002, +8.52058192885E-003
+4.80024002400E+009, -4.51838421721E-002, +8.83964782816E-003
+4.80026002600E+009, -4.50455030057E-002, +9.15338143246E-003
+4.80028002800E+009, -4.49538797061E-002, +9.38268613578E-003
+4.80030003000E+009, -4.48649432825E-002, +9.78100895671E-003
+4.80032003200E+009, -4.47422592157E-002, +1.01254875964E-002
+4.80034003400E+009, -4.47305064482E-002, +1.04855506661E-002
+4.80036003600E+009, -4.45700859947E-002, +1.06913502743E-002
+4.80038003800E+009, -4.46568638744E-002, +1.10720459034E-002
+4.80040004000E+009, -4.44880848584E-002, +1.14066674683E-002
+4.80042004200E+009, -4.44559654399E-002, +1.16579024098E-002
+4.80044004400E+009, -4.43975136041E-002, +1.19883090161E-002
+4.80046004600E+009, -4.42303876938E-002, +1.22756103491E-002
+4.80048004800E+009, -4.41498291521E-002, +1.26897434911E-002
+4.80050005001E+009, -4.41353990322E-002, +1.29982938774E-002
+4.80052005201E+009, -4.40203301146E-002, +1.33166096766E-002
+4.80054005401E+009, -4.39156362754E-002, +1.35781387944E-002
+4.80056005601E+009, -4.37839624811E-002, +1.39525154999E-002
+4.80058005801E+009, -4.37206747413E-002, +1.41842434169E-002
+4.80060006001E+009, -4.36154876557E-002, +1.45275003656E-002
